;index;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
283;283;ApzxFer-Acg;600586;21958;0;1911;0.028;0.003;0.968;0.994
284;284;2QzPC-GjEZo;581861;24853;0;938;0.237;0.06;0.703;0.9997
285;285;Pv1c4dDkRd0;1053120;29014;0;2929;0.287;0.044;0.67;0.9999
286;286;zIjLXAIfL4A;623795;27726;0;774;0.015;0.007;0.978;0.9371
287;287;LmlPbubynnc;839796;36884;0;2624;0.535;0.091;0.374;0.9518
288;288;YC3B9Rx4yIg;372984;15115;0;1379;0.287;0.095;0.618;0.9997
289;289;VDWvxHXJijA;543590;20778;0;968;0.252;0.075;0.673;0.9998
290;290;ayWOFSfjcCw;439742;16229;0;528;0.155;0.107;0.737;0.9984
291;291;OI1wbvd7UbU;580482;16632;0;870;0.195;0.091;0.713;0.9996
292;292;Cda-rgWkfOc;724947;22699;0;2653;0.166;0.06;0.773;0.9995
293;293;CRYocdFxXhg;813365;27860;0;857;0.015;0.007;0.978;0.9509
294;294;G90vWXwYIzo;588599;19616;0;1127;0.211;0.093;0.696;0.9994
295;295;dgsKvCSfI5I;526615;19629;0;867;0.212;0.083;0.705;0.9998
296;296;Cq5G03vwMH0;575560;22724;0;687;0.232;0.053;0.715;0.9999
297;297;Av2mhijtlg0;411625;16860;0;734;0.253;0.084;0.663;0.9997
298;298;8TF3YtBoOkI;573833;8325;0;522;0.237;0.126;0.638;0.998
299;299;FxZLHVsuwZg;905803;32812;0;1723;0.249;0.069;0.681;0.9998
300;300;kCFJMgsObCE;673155;30935;0;810;0.179;0.128;0.694;0.9957
301;301;ZuizlN2vM7I;922721;23444;0;1175;0.213;0.063;0.724;0.9997
302;302;WvbxS-wjA-s;1293037;92474;0;9737;0.039;0.006;0.955;0.9967
303;303;M_JLplqhLIU;1052535;76055;0;6182;0.289;0.114;0.597;0.9998
304;304;79h1WbD4SUM;503236;18640;0;598;0.023;0.016;0.961;0.93
305;305;pgzQgX3MzsA;688659;18065;0;1611;0.255;0.066;0.679;0.9998
306;306;4XnqgSyW-uU;579183;23182;0;910;0.216;0.062;0.722;0.9998
307;307;bPhSOVcVOBo;787905;53768;0;2311;0.284;0.083;0.633;0.9988
308;308;35W8pF2-kpc;414186;14767;0;682;0.165;0.057;0.778;0.9984
309;309;mr2TWyiJgww;706188;17340;0;1463;0.254;0.075;0.672;0.9998
310;310;Wk1TbB1bc0I;540075;22192;0;1943;0.29;0.046;0.664;0.9999
311;311;DgnwEchQ6GY;237195;10642;0;899;0.236;0.05;0.714;0.9994
312;312;4F7R9DfwvY0;584022;16058;0;1668;0.273;0.091;0.636;0.9998
313;313;eU_luB68tL0;1682290;51365;0;2514;0.291;0.057;0.653;0.9996
314;314;TNRJyMgwYDY;643421;16132;0;2549;0.198;0.064;0.738;0.9992
315;315;jgTU2IuxYd4;697523;21827;0;1463;0.214;0.061;0.724;0.9999
316;316;9tvYM9uo8Rk;483438;23331;0;571;0.227;0.088;0.686;0.9989
317;317;Dp66fZmbh6A;548576;17719;0;991;0.189;0.093;0.717;0.999
318;318;50tQPtn1fiE;667033;16105;0;836;0.234;0.094;0.671;0.9985
319;319;vYCJTYBYL1U;555487;21641;0;623;0.023;0.011;0.966;0.9712
320;320;p0RjT9SNFxc;471676;21756;0;880;0.273;0.049;0.677;0.9999
321;321;m8oxJP4RM0c;641612;17674;0;1401;0.161;0.044;0.796;0.9877
322;322;DEZzoZKi7N4;585136;32571;0;1607;0.244;0.054;0.702;0.9999
323;323;pm74reA9nWk;770879;28970;0;1819;0.191;0.032;0.777;0.9993
324;324;DJG040NbhCE;667433;15998;0;871;0.197;0.06;0.743;0.9996
325;325;NCm8O2udqxE;404317;16774;0;2728;0.028;0.01;0.962;0.9895
326;326;bTYsIlyRjOg;1185932;32296;0;6525;0.161;0.043;0.796;0.9974
327;327;uvzMj1rNjpw;998470;27148;0;1554;0.284;0.055;0.661;0.9998
328;328;rmKTrLR2kkU;525301;20316;0;568;0.235;0.042;0.724;0.9997
329;329;XU47aNFCmcw;447595;24183;0;1386;0.302;0.08;0.618;1.0
330;330;XCWN5zStCIs;1102661;28519;0;2058;0.232;0.073;0.696;0.9998
331;331;jx7-evypX50;514029;22453;0;718;0.227;0.058;0.716;0.9999
332;332;VFlSNEmyX7g;1175116;69232;0;6087;0.21;0.054;0.736;0.9995
333;333;n_etfesTPVY;526693;17794;0;644;0.214;0.076;0.71;0.9998
334;334;7aX-8F-ndeg;699107;25889;0;3400;0.288;0.017;0.695;0.9818
335;335;U5h5LA0GUpc;587044;18926;0;1102;0.222;0.065;0.713;0.9994
336;336;gMnfYPA56gM;819391;24656;0;1712;0.197;0.082;0.722;0.9998
337;337;v02R5d7Lg7w;876042;27788;0;1883;0.223;0.095;0.682;0.9997
338;338;5tEJ5Da-JjQ;612609;16131;0;930;0.198;0.033;0.769;0.9996
339;339;NMk2JjrO1hc;526911;20448;0;748;0.185;0.102;0.713;0.999
340;340;Ptb76LOlbi8;1144067;31072;0;1298;0.024;0.01;0.966;0.9868
341;341;Yc3gNa9ujYU;1284680;43159;0;2230;0.259;0.066;0.675;0.9999
342;342;Wqmne0Vn1Uk;431146;16469;0;430;0.229;0.11;0.661;0.9998
343;343;6-DPNto7Ruw;130156;3879;0;431;0.203;0.027;0.77;0.9783
344;344;lG1tJ549ofU;575191;12979;0;627;0.293;0.058;0.649;0.9999
345;345;vnjza1svqYQ;535275;22554;0;1258;0.232;0.078;0.69;0.9997
346;346;4BQFvouSDOg;519853;14954;0;958;0.219;0.062;0.719;0.9999
347;347;w_Lw0Ix2E54;299198;13445;0;1679;0.221;0.059;0.72;0.9995
348;348;S00mYlWizqc;690081;25793;0;1941;0.221;0.088;0.691;0.9971
349;349;0jJnZWOEOAI;694123;26278;0;1279;0.236;0.056;0.708;0.9999
350;350;N1wic3ye4A8;948472;24892;0;1788;0.236;0.064;0.7;0.9997
351;351;3z2JoqU-JiE;525587;14707;0;1403;0.185;0.075;0.74;0.9995
352;352;Ozce1EYBdmM;626172;23464;0;2286;0.204;0.073;0.723;0.997
353;353;38nV1BhcepE;658233;25209;0;1707;0.289;0.079;0.632;0.9977
354;354;WtaTr8XOyAY;818925;37533;0;1874;0.211;0.035;0.754;0.9994
355;355;oEwufx9HEgU;975158;40320;0;2134;0.253;0.068;0.679;0.9998
356;356;fACLOp12uDw;806145;27510;0;1719;0.333;0.081;0.587;0.9999
357;357;1m7B4vI43BE;659212;18086;0;958;0.184;0.049;0.767;0.9994
358;358;uMUNIijaWgc;978548;25892;0;1078;0.186;0.087;0.727;0.9972
359;359;g3ahKqJEpRY;1560921;87946;0;5899;0.264;0.05;0.686;0.9998
360;360;nV1niQVFyHI;538554;22072;0;901;0.269;0.064;0.667;0.9997
361;361;-Hn43WGe4ws;152874;2581;0;235;0.214;0.045;0.741;0.999
362;362;y05kScfXQAs;541211;7784;0;536;0.152;0.067;0.781;0.9945
363;363;JPYh19wAyvs;464340;20165;0;587;0.232;0.086;0.682;0.9997
364;364;fhnQ4_Gi8GU;566238;20402;0;1226;0.229;0.077;0.694;0.9836
365;365;8z6_4BaSh7Q;99468;4016;0;454;0.256;0.047;0.698;0.9995
366;366;Fu_bAG221zI;637068;26452;0;1886;0.251;0.085;0.665;0.9997
367;367;RMJyAGUsEx8;105329;2524;0;113;0.241;0.068;0.691;0.9994
368;368;ePbl4cOG-Oc;727770;32161;0;976;0.214;0.044;0.743;0.9998
369;369;pAYZYraWyyI;723754;24454;0;1972;0.25;0.086;0.664;0.9991
370;370;uhonMbfnmeE;1047129;39299;0;3700;0.236;0.065;0.699;0.9998
371;371;_7JFBk1R020;1127457;33031;0;913;0.023;0.016;0.96;0.9413
372;372;-P_6_AJKuhI;612459;22670;0;1097;0.188;0.082;0.73;0.9988
373;373;vAYWlvhzXYo;540574;19565;0;885;0.018;0.009;0.973;0.9747
374;374;5FK9fmzTCYo;1580751;28233;0;1724;0.217;0.045;0.738;0.9995
375;375;i_Gh72dbGMY;651830;9876;0;611;0.168;0.094;0.738;0.9881
376;376;Cz6OpYvh-Rk;584715;25288;0;3832;0.207;0.088;0.705;0.9998
377;377;NpKpFRNeKeA;630978;25252;0;963;0.255;0.036;0.709;0.9994
378;378;QUTqtN_n8qc;484393;18694;0;606;0.181;0.061;0.758;0.9998
379;379;BHPa8x-2iuw;905719;30271;0;2094;0.26;0.08;0.659;0.9998
380;380;lbQO3Q2ucgo;1051571;24724;0;2141;0.252;0.046;0.702;0.9999
381;381;VXxmYW74osI;542286;14269;0;907;0.182;0.091;0.728;0.9994
382;382;ROnHXbsNmLI;924010;30832;0;1292;0.244;0.042;0.714;0.9986
383;383;IjhOKFYpdOg;865031;33747;0;1794;0.245;0.065;0.69;0.9992
384;384;QDAYzl2aQp0;712665;27871;0;2668;0.174;0.087;0.739;0.9993
385;385;1CqSc5zw9gw;548870;20427;0;678;0.223;0.094;0.684;0.9994
386;386;rw5D7nk-snA;1006997;56627;0;3490;0.232;0.053;0.715;0.9998
387;387;GkKI938cLI4;642829;22744;0;819;0.234;0.081;0.685;0.9994
388;388;L0s958pJiW0;850208;33198;0;1668;0.223;0.067;0.711;0.9999
389;389;5ap0IFAVIFs;1123025;35121;0;1945;0.266;0.046;0.688;0.9999
390;390;qVwJNNcIM2A;658533;19792;0;1276;0.161;0.063;0.776;0.9996
391;391;in1CG_eBmBU;522048;19023;0;3280;0.24;0.074;0.686;0.9999
392;392;9ATDctTjfmE;489197;15780;0;710;0.2;0.041;0.759;0.9997
393;393;eXvklxzbLLk;963332;33058;0;1809;0.265;0.078;0.656;0.9999
394;394;-dSpy82CXg0;795676;31975;0;2417;0.222;0.068;0.711;0.9992
395;395;QGHUHEh5QA8;1132679;46588;0;2820;0.212;0.079;0.71;0.9998
396;396;IdFiTtRtNE4;957212;23053;0;1368;0.192;0.099;0.709;0.9994
397;397;WRbecJSrYSU;515892;20356;0;2636;0.252;0.065;0.683;0.9999
398;398;g86fbFrhXu8;672866;27041;0;3708;0.029;0.02;0.951;0.8834
399;399;OI-_a0bWM6w;830585;24115;0;1444;0.218;0.06;0.721;0.9994
400;400;QVwjYSZ2_I4;538817;14280;0;583;0.159;0.105;0.736;0.9756
401;401;N0PDJ-GRZC0;1012301;28167;0;1441;0.205;0.089;0.706;0.9983
402;402;xpkdh0LT09g;948618;37396;0;2903;0.016;0.002;0.982;0.9819
403;403;skvUHMisnKQ;656636;21885;0;752;0.153;0.106;0.741;0.9099
404;404;g_EwDqbEkkQ;595446;23014;0;744;0.205;0.064;0.73;0.9996
405;405;qb5wOAZDtHk;760036;29974;0;1367;0.035;0.011;0.953;0.9945
406;406;UBAYL5g0nEk;646618;17353;0;905;0.189;0.067;0.744;0.9991
407;407;w2I5MfnSEGc;869593;28858;0;1738;0.247;0.064;0.69;0.9998
408;408;8qrMJ3se28A;953544;19722;0;973;0.023;0.01;0.967;0.9774
409;409;wMPaqrBI9vA;656744;21389;0;1444;0.252;0.027;0.72;0.9994
410;410;jXSinQ503YM;553899;14883;0;543;0.257;0.057;0.686;0.9995
411;411;qvLNdKvCNlE;641847;17525;0;949;0.194;0.069;0.737;0.9996
412;412;QrWaYj9WjFI;491936;18137;0;1197;0.224;0.089;0.686;0.9998
413;413;n8l109wIUG4;492928;20557;0;1043;0.025;0.007;0.969;0.9867
414;414;SKzp17yoLRI;580885;23971;0;947;0.231;0.059;0.71;0.9995
415;415;AJrmGAoV42Q;359060;26695;0;1656;0.206;0.105;0.69;0.9994
416;416;7NAfi6Jl4pY;486384;20875;0;853;0.228;0.076;0.696;0.9997
417;417;IqK8oPUXgh4;60666;2655;0;237;0.295;0.056;0.65;0.9998
418;418;gHAEzooJO7k;646760;25980;0;1504;0.039;0.014;0.947;0.9966
419;419;O-0Bwz-_MW4;541689;19761;0;943;0.166;0.087;0.746;0.9973
420;420;hut6KvrIRZE;1226831;23291;0;1264;0.234;0.071;0.695;0.9994
421;421;FE50Rxtq_d8;1333177;47683;0;4681;0.023;0.004;0.973;0.9903
422;422;sOrewSnvvQ8;1725655;59691;0;2908;0.224;0.075;0.701;0.9996
423;423;XvgNgM_lVVk;644305;18908;0;952;0.13;0.057;0.812;0.9975
424;424;WG4YewaXDK8;987735;25506;0;3235;0.168;0.086;0.746;0.999
425;425;8y3WT35uI_I;624073;22552;0;818;0.274;0.112;0.614;0.8977
426;426;NmPCDpbAREw;536581;15127;0;1041;0.227;0.078;0.695;0.9998
427;427;d17VPpyuiz8;729903;42107;0;2337;0.276;0.101;0.623;0.9999
428;428;dEQWfr6_xhg;595541;24131;0;1700;0.221;0.071;0.708;0.9998
